0	0	0
0.1	0	0
0.2	0	0
0.3	0	0
0.4	0	0
0.5	0	0
0.6	0	0
0.7	0	0
0.8	0	0
0.9	0	0
1	0	0
0	0.1	0
0.1	0.1	0.000151672
0.2	0.1	0.000187399
0.3	0.1	0.000281361
0.4	0.1	0.000606554
0.5	0.1	5.40818e-07
0.6	0.1	0.000910232
0.7	0.1	0.000655282
0.8	0.1	0.000750994
0.9	0.1	0.00136445
1	0.1	2.16327e-06
0	0.2	0
0.1	0.2	0.000245411
0.2	0.2	0.000303217
0.3	0.2	0.000455251
0.4	0.2	0.000981425
0.5	0.2	8.75062e-07
0.6	0.2	0.00147279
0.7	0.2	0.00106027
0.8	0.2	0.00121513
0.9	0.2	0.00220772
1	0.2	3.50025e-06
0	0.3	0
0.1	0.3	0.000245411
0.2	0.3	0.000303217
0.3	0.3	0.000455251
0.4	0.3	0.000981425
0.5	0.3	8.75062e-07
0.6	0.3	0.00147279
0.7	0.3	0.00106027
0.8	0.3	0.00121513
0.9	0.3	0.00220772
1	0.3	3.50025e-06
0	0.4	0
0.1	0.4	0.000151672
0.2	0.4	0.000187399
0.3	0.4	0.000281361
0.4	0.4	0.000606554
0.5	0.4	5.40818e-07
0.6	0.4	0.000910232
0.7	0.4	0.000655282
0.8	0.4	0.000750994
0.9	0.4	0.00136445
1	0.4	2.16327e-06
0	0.5	4.89859e-16
0.1	0.5	1.51375e-16
0.2	0.5	3.96304e-16
0.3	0.5	3.96304e-16
0.4	0.5	1.51375e-16
0.5	0.5	4.89859e-16
0.6	0.5	1.51375e-16
0.7	0.5	3.96304e-16
0.8	0.5	3.96304e-16
0.9	0.5	1.51375e-16
1	0.5	4.89859e-16
0	0.6	0
0.1	0.6	0.000151672
0.2	0.6	0.000187399
0.3	0.6	0.000281361
0.4	0.6	0.000606554
0.5	0.6	5.40818e-07
0.6	0.6	0.000910232
0.7	0.6	0.000655282
0.8	0.6	0.000750994
0.9	0.6	0.00136445
1	0.6	2.16327e-06
0	0.7	0
0.1	0.7	0.000245411
0.2	0.7	0.000303217
0.3	0.7	0.000455251
0.4	0.7	0.000981425
0.5	0.7	8.75062e-07
0.6	0.7	0.00147279
0.7	0.7	0.00106027
0.8	0.7	0.00121513
0.9	0.7	0.00220772
1	0.7	3.50025e-06
0	0.8	0
0.1	0.8	0.000245411
0.2	0.8	0.000303217
0.3	0.8	0.000455251
0.4	0.8	0.000981425
0.5	0.8	8.75062e-07
0.6	0.8	0.00147279
0.7	0.8	0.00106027
0.8	0.8	0.00121513
0.9	0.8	0.00220772
1	0.8	3.50025e-06
0	0.9	0
0.1	0.9	0.000151672
0.2	0.9	0.000187399
0.3	0.9	0.000281361
0.4	0.9	0.000606554
0.5	0.9	5.40818e-07
0.6	0.9	0.000910232
0.7	0.9	0.000655282
0.8	0.9	0.000750994
0.9	0.9	0.00136445
1	0.9	2.16327e-06
0	1	0
0.1	1	0
0.2	1	0
0.3	1	0
0.4	1	0
0.5	1	0
0.6	1	0
0.7	1	0
0.8	1	0
0.9	1	0
1	1	0
